Image,Image area,Number of edges,Length of bounded box,Width of bounded box,Area of bounded box,Difference of area,Percentage filled area,Compactness factor,Complexity Level,Design family,DBSCAN_Labels
1,133719.0,6,338,452,152776,19057.0,12.47381787715348,85.12190791801946,1,0,0
2,129910.5,5,338,452,152776,22865.5,14.966683248677803,86.23236025006362,1,2,1
3,106840.5,6,338,453,153114,46273.5,30.22159959246052,75.52754000494907,2,1,2
4,100151.0,7,337,452,152324,52173.0,34.25133268559124,68.38467902548132,0,3,3
5,145867.5,5,338,453,153114,7246.5,4.732748148438418,94.34393101184736,1,4,1
6,130978.5,7,338,452,152776,21797.5,14.26762056867571,83.96204892802508,1,0,4
7,135676.0,7,338,453,153114,17438.0,11.388899774024583,86.50509429337457,1,0,4
8,104465.0,8,338,452,152776,48311.0,31.62211342095617,70.98392944433286,2,1,5
9,111976.0,8,338,452,152776,40800.0,26.7057653034508,82.89256440912142,2,1,6
10,127334.0,7,337,452,152324,24990.0,16.405819174916626,82.94183994594007,1,0,4
11,139479.5,5,338,452,152776,13296.5,8.70326491071896,91.59196371022756,1,4,1
12,134560.0,5,338,452,152776,18216.0,11.923338744305388,90.38397720845144,1,2,1
13,124548.5,8,338,452,152776,28227.5,18.476396816253864,82.24098065847853,2,0,-1
14,136323.5,5,338,452,152776,16452.5,10.76903440330942,89.86519693338407,1,4,1
15,88788.5,9,338,452,152776,63987.5,41.8832146410431,57.74779689712936,0,3,7
16,114544.0,8,338,452,152776,38232.0,25.0248730167042,74.79061777492521,2,1,8
17,107953.5,6,338,452,152776,44822.5,29.33870503220401,69.48144117184621,2,1,9
18,145867.5,5,338,453,153114,7246.5,4.732748148438418,94.34393101184736,1,4,1
19,118952.5,6,338,452,152776,33823.5,22.139275802482064,79.95663061428255,2,1,10
20,122851.5,6,338,453,153114,30262.5,19.764685136564918,78.97891322604096,2,2,10
21,108358.0,7,337,452,152324,43966.0,28.86347522386492,79.92857229511831,2,3,11
22,75978.5,3,337,452,152324,76345.5,50.12046689950369,55.03335680490013,0,5,12
23,135780.0,7,338,453,153114,17334.0,11.32097652729339,86.28688756285962,1,0,4
24,112515.5,10,337,452,152324,39808.5,26.134095743284053,75.35474352831602,2,3,13
25,102867.5,7,337,452,152324,49456.5,32.46796302618103,72.14792831654782,2,3,3
26,114131.5,5,338,452,152776,38644.5,25.29487615855894,79.30377255468858,2,1,14
27,75978.5,3,337,452,152324,76345.5,50.12046689950369,55.03335680490013,0,5,12
28,133062.0,5,338,452,152776,19714.0,12.90385924490758,87.68474166408973,1,0,1
29,150234.5,6,338,452,152776,2541.5,1.6635466303607898,97.59044646838294,1,0,15
30,149173.0,4,338,452,152776,3603.0,2.3583547154003246,95.14803938246128,1,4,16
31,105330.5,11,338,452,152776,47445.5,31.055597737864588,70.95999349763495,2,1,17
32,151288.5,4,338,453,153114,1825.5,1.1922489125749445,95.79992093888916,1,4,16
33,144021.5,4,338,452,152776,8754.5,5.73028486149657,92.65849582476176,1,4,16
34,138961.5,7,338,452,152776,13814.5,9.0423234015814,90.3767177326734,1,0,18
35,122602.0,5,338,453,153114,30512.0,19.92763561790561,79.28688722942714,2,2,19
36,99751.0,8,337,452,152324,52573.0,34.513930831648324,71.30717536339064,0,3,5
37,150708.0,4,338,453,153114,2406.0,1.5713781888005016,95.44699792590664,1,4,16
38,110290.0,4,338,452,152776,42486.0,27.80934178143164,76.77246191763132,2,1,20
39,148565.5,4,338,452,152776,4210.5,2.7559957061318534,94.86689059848013,1,4,16
40,99216.5,6,338,452,152776,53559.5,35.05753521495522,68.91691169985813,0,1,21
41,108055.5,6,338,452,152776,44720.5,29.271940618945383,70.28819006749032,2,1,9
42,101584.5,6,338,452,152776,51191.5,33.50755354244122,74.32976542510427,2,1,-1
43,110290.0,4,338,452,152776,42486.0,27.80934178143164,76.77246191763132,2,1,20
44,103485.5,9,338,452,152776,49290.5,32.26324815416034,74.22322848485591,2,1,22
45,98571.5,6,338,452,152776,54204.5,35.47972194585537,68.35763012331073,0,1,21
46,114561.5,11,338,452,152776,38214.5,25.013418337958843,72.24606028202862,2,1,23
47,128253.0,9,338,452,152776,24523.0,16.05160496413049,83.26766320045496,1,0,24
48,91149.0,6,337,452,152324,61175.0,40.16110396260603,70.37952538532834,0,3,25
49,145867.5,5,338,453,153114,7246.5,4.732748148438418,94.34393101184736,1,4,1
50,147322.0,4,338,452,152776,5454.0,3.5699324501230563,94.44074372225155,1,4,16
51,131174.0,5,338,452,152776,21602.0,14.13965544326334,90.03113563622311,1,2,1
52,107566.5,8,337,452,152324,44757.5,29.383091305375387,73.4715793388593,2,3,26
53,111372.0,8,338,452,152776,41404.0,27.101115358433265,82.27317714620733,2,1,6
54,127334.0,7,337,452,152324,24990.0,16.405819174916626,82.94183994594007,1,0,4
55,135676.0,7,338,453,153114,17438.0,11.388899774024583,86.50509429337457,1,0,4
56,126446.0,5,338,452,152776,26330.0,17.23438236372205,84.41044925154944,1,2,1
57,144463.5,4,338,452,152776,8312.5,5.44097240404252,92.98391927117932,1,4,16
58,148565.5,4,338,452,152776,4210.5,2.7559957061318534,94.86689059848013,1,4,16
59,146948.0,4,338,452,152776,5828.0,3.8147352987380216,94.10104391120628,1,4,16
60,128805.5,5,338,452,152776,23970.5,15.68996439231293,86.4118437067804,1,2,1
61,112515.5,10,337,452,152324,39808.5,26.134095743284053,75.35474352831602,2,3,13
62,144149.0,4,338,452,152776,8627.0,5.646829344923286,92.86602345331424,1,4,16
63,114561.5,11,338,452,152776,38214.5,25.013418337958843,72.24606028202862,2,1,23
64,114561.5,11,338,452,152776,38214.5,25.013418337958843,72.24606028202862,2,1,23
65,107350.0,6,338,452,152776,45426.0,29.73372781065089,75.49204276136996,2,1,2
66,132701.5,6,338,452,152776,20074.5,13.139825627061844,84.72920160505231,1,0,0
67,147237.0,5,338,453,153114,5877.0,3.838316548454093,94.92707334836304,1,4,1
68,96831.0,6,338,452,152776,55945.0,36.61897156621458,67.62429962285125,0,1,21
69,107153.0,7,338,452,152776,45623.0,29.86267476567,70.57005431303384,2,1,3
70,107153.0,7,338,452,152776,45623.0,29.86267476567,70.57005431303384,2,1,3
71,129910.5,5,338,452,152776,22865.5,14.966683248677803,86.23236025006362,1,2,1
72,135504.0,4,337,452,152324,16820.0,11.042252041700586,88.4592846889227,1,4,27
73,107350.0,6,338,452,152776,45426.0,29.73372781065089,75.49204276136996,2,1,2
74,149843.5,6,338,454,153452,3608.5,2.351549670255194,97.95467062866588,1,4,15
75,147644.5,4,338,453,153114,5469.5,3.57217498073331,94.42005698812586,1,4,16
76,133496.5,7,338,452,152776,19279.5,12.61945593548725,84.14256777374811,1,0,4
77,141998.5,7,338,452,152776,10777.5,7.054445724459339,92.70508577372296,1,0,18
78,108358.0,7,337,452,152324,43966.0,28.86347522386492,79.92857229511831,2,3,11
79,122441.0,7,338,452,152776,30335.0,19.855867413729904,81.96539852163606,2,1,4
80,135676.0,7,338,453,153114,17438.0,11.388899774024583,86.50509429337457,1,0,4
81,129387.5,4,337,452,152324,22936.5,15.057705942596044,85.97639794419511,1,0,27
82,111372.0,8,338,452,152776,41404.0,27.101115358433265,82.27317714620733,2,1,6
83,128253.0,9,338,452,152776,24523.0,16.05160496413049,83.26766320045496,1,0,24
84,91149.0,6,337,452,152324,61175.0,40.16110396260603,70.37952538532834,0,3,25
85,151288.5,4,338,453,153114,1825.5,1.1922489125749445,95.79992093888916,1,4,16
86,135676.0,7,338,453,153114,17438.0,11.388899774024583,86.50509429337457,1,0,4
87,71345.0,11,337,452,152324,80979.0,53.162338173892486,43.57587871415488,0,5,28
88,99182.0,7,338,453,153114,53932.0,35.22342829525713,71.67348867959417,0,1,3
89,110290.0,4,338,452,152776,42486.0,27.80934178143164,76.77246191763132,2,1,20
90,135504.0,4,337,452,152324,16820.0,11.042252041700586,88.4592846889227,1,4,27
91,75978.5,3,337,452,152324,76345.5,50.12046689950369,55.03335680490013,0,5,12
92,76014.5,3,337,452,152324,76309.5,50.09683306635855,54.90036911018557,0,5,12
93,127334.0,7,337,452,152324,24990.0,16.405819174916626,82.94183994594007,1,0,4
94,111976.0,8,338,452,152776,40800.0,26.7057653034508,82.89256440912142,2,1,6
95,149326.0,4,338,452,152776,3450.0,2.258208095512384,95.24562842354456,1,4,16
96,141998.5,7,338,452,152776,10777.5,7.054445724459339,92.70508577372296,1,0,18
97,123434.0,4,337,452,152324,28890.0,18.96615109897324,83.20762718334522,2,0,29
98,99216.5,6,338,452,152776,53559.5,35.05753521495522,68.91691169985813,0,1,21
99,84082.5,7,338,452,152776,68693.5,44.96354139393622,60.372343083735146,0,3,30
100,150708.0,4,338,453,153114,2406.0,1.5713781888005016,95.44699792590664,1,4,16
101,147237.0,5,338,453,153114,5877.0,3.838316548454093,94.92707334836304,1,4,1
102,126584.5,7,338,452,152776,26191.5,17.143726763365976,89.47749341489352,1,2,31
103,135504.0,4,337,452,152324,16820.0,11.042252041700586,88.4592846889227,1,4,27
104,71113.5,8,338,452,152776,81662.5,53.45244017384929,44.573009613548365,0,5,32
105,143973.0,4,338,452,152776,8803.0,5.762030685447976,92.66221465288103,1,4,16
106,136323.5,5,338,452,152776,16452.5,10.76903440330942,89.86519693338407,1,4,1
107,112515.5,10,337,452,152324,39808.5,26.134095743284053,75.35474352831602,2,3,13
108,135676.0,7,338,453,153114,17438.0,11.388899774024583,86.50509429337457,1,0,4
109,151348.5,4,338,453,153114,1765.5,1.1530624240761784,96.5505961730223,1,4,16
110,99751.0,8,337,452,152324,52573.0,34.513930831648324,71.30717536339064,0,3,5
111,129566.0,6,338,452,152776,23210.0,15.192176781693458,84.10593114875961,1,0,0
112,105047.0,9,338,452,152776,47729.0,31.2411635335393,77.71556796616149,2,1,33
113,143599.5,6,338,452,152776,9176.5,6.00650625752736,94.25496538622023,1,0,-1
114,148808.0,4,338,452,152776,3968.0,2.597266586374823,94.66512303884448,1,4,16
115,146698.0,8,338,452,152776,6078.0,3.978373566528774,95.97822895532713,1,0,34
116,93482.5,7,337,452,152324,58841.5,38.62917202804548,65.24817831284099,0,3,35
117,126446.0,5,338,452,152776,26330.0,17.23438236372205,84.41044925154944,1,2,1
118,135697.5,7,338,453,153114,17416.5,11.374857948979193,86.33087263715902,1,0,4
119,146589.5,4,338,452,152776,6186.5,4.049392574749961,93.93590006760286,1,4,16
120,99216.5,6,338,452,152776,53559.5,35.05753521495522,68.91691169985813,0,1,21
121,106509.0,8,338,452,152776,46267.0,30.28420694349898,66.98225764817957,2,1,36
122,97957.5,5,337,452,152324,54366.5,35.6913552690318,70.88591055887821,0,3,37
123,149326.0,4,338,452,152776,3450.0,2.258208095512384,95.24562842354456,1,4,16
124,128805.5,5,338,452,152776,23970.5,15.68996439231293,86.4118437067804,1,2,1
125,91149.0,6,337,452,152324,61175.0,40.16110396260603,70.37952538532834,0,3,25
126,133495.0,4,337,453,152661,19166.0,12.554614472589597,87.41520422847037,1,0,27
127,135676.0,7,338,453,153114,17438.0,11.388899774024583,86.50509429337457,1,0,4
128,102867.5,7,337,452,152324,49456.5,32.46796302618103,72.14792831654782,2,3,3
129,122518.0,7,338,452,152776,30258.0,19.805466827250356,85.40673059593855,2,2,4
130,131174.0,5,338,452,152776,21602.0,14.13965544326334,90.03113563622311,1,2,1
131,119329.5,8,338,452,152776,33446.5,21.89250929465361,85.9181466210694,2,2,38
132,127334.0,7,337,452,152324,24990.0,16.405819174916626,82.94183994594007,1,0,4
133,107350.0,6,338,452,152776,45426.0,29.73372781065089,75.49204276136996,2,1,2
134,106543.5,7,338,452,152776,46232.5,30.261624862543854,70.30425759472013,2,1,3
135,122602.0,5,338,453,153114,30512.0,19.92763561790561,79.28688722942714,2,2,19
136,122851.5,6,338,453,153114,30262.5,19.764685136564918,78.97891322604096,2,2,10
